tGroup,round,epoch,layer,neuron,type,weight,value
1-2,0,700,0,5,N,13,0.08782583800479696
1-2,0,700,0,5,N,14,-0.5341813557606667
1-2,0,700,0,5,N,15,-0.40074580688554723
1-2,0,700,0,5,N,16,0.2777252017825281
1-2,0,700,0,5,N,17,-0.10588681764280589
1-2,0,700,0,5,N,18,0.42398445313489014
1-2,0,700,0,5,N,19,0.21526999879448905
1-2,0,700,0,5,N,20,0.15060496983073274
1-2,0,700,0,5,N,21,-0.6985691219755663
1-2,0,700,0,5,N,22,-0.1572438449080849
1-2,0,700,0,5,N,23,0.7788466343434459
1-2,0,700,0,5,N,24,-0.1943509488447881
1-2,0,700,0,5,N,25,0.4981387381214222
1-2,0,700,0,5,N,26,0.5928844501399766
1-2,0,700,0,5,N,27,0.1726520709894528
1-2,0,700,0,5,N,28,-0.7270191213307298
1-2,0,700,0,5,N,29,0.05046086125585207
1-2,0,700,0,5,N,30,0.5802791392667475
1-2,0,700,0,5,N,31,0.022125784576247143
1-2,0,700,0,5,N,32,-0.778357760443796
1-2,0,700,0,5,N,33,0.39775954706046324
1-2,0,700,0,5,N,34,0.5110999135311446
1-2,0,700,0,5,N,35,0.818508524587102
1-2,0,700,0,5,N,36,-0.11897497712459372
1-2,0,700,0,5,N,37,0.10782882336688322
1-2,0,700,0,5,N,38,-0.45792725597174166
1-2,0,700,0,5,N,39,-0.13501722828651874
1-2,0,700,0,5,N,40,0.57973589138244
1-2,0,700,0,5,N,41,0.14931402794665669
1-2,0,700,0,5,N,42,-0.9534801535713454
1-2,0,700,0,5,N,43,0.3069471334753239
1-2,0,700,0,5,N,44,-0.6697458462517994
1-2,0,700,0,5,N,45,0.36477540578388834
1-2,0,700,0,5,N,46,0.25445852072384756
1-2,0,700,0,5,N,47,0.4453927907384684
1-2,0,700,0,5,N,48,-0.5702526775593995
1-2,0,700,0,5,N,49,-0.2704309103952536
1-2,0,700,0,5,N,50,-0.05906474054383903
1-2,0,700,0,5,N,51,0.24819746301739826
1-2,0,700,0,5,N,52,0.5752612165767299
1-2,0,700,0,5,N,53,0.39957417304016957
1-2,0,700,0,5,N,54,-0.38001542434357466
1-2,0,700,0,5,N,55,-0.1154388927711204
1-2,0,700,0,6,N,0,0.57236146438561
1-2,0,700,0,6,N,1,0.4525563731112113
1-2,0,700,0,6,N,2,-0.837369027501994
1-2,0,700,0,6,N,3,0.014045303853515975
1-2,0,700,0,6,N,4,-0.5899643259624846
1-2,0,700,0,6,N,5,0.15332625019551738
1-2,0,700,0,6,N,6,-0.48513149245323595
1-2,0,700,0,6,N,7,0.5787790305219214
1-2,0,700,0,6,N,8,0.25092805313908156
1-2,0,700,0,6,N,9,-0.3995309374200353
1-2,0,700,0,6,N,10,-0.24126549713190895
1-2,0,700,0,6,N,11,0.49322208118480343
1-2,0,700,0,6,N,12,-0.46687817149015437
1-2,0,700,0,6,N,13,-0.5114478177332417
1-2,0,700,0,6,N,14,0.38906125549696696
1-2,0,700,0,6,N,15,-0.28858649962787786
1-2,0,700,0,6,N,16,-0.1971943044999043
1-2,0,700,0,6,N,17,0.30148121454173565
1-2,0,700,0,6,N,18,0.0870189955555292
1-2,0,700,0,6,N,19,0.31225919252571105
1-2,0,700,0,6,N,20,-0.5812753165119677
1-2,0,700,0,6,N,21,-0.8495553632554713
1-2,0,700,0,6,N,22,0.0692651641361052
1-2,0,700,0,6,N,23,0.014449316070764964
1-2,0,700,0,6,N,24,0.3253916159857376
1-2,0,700,0,6,N,25,-0.6105745111636489
1-2,0,700,0,6,N,26,0.026087404438642263
1-2,0,700,0,6,N,27,0.3700825138952658
1-2,0,700,0,6,N,28,-0.6191583492370533
1-2,0,700,0,6,N,29,-0.34596811592939786
1-2,0,700,0,6,N,30,-0.8799863655239308
1-2,0,700,0,6,N,31,-0.08431753528290209
1-2,0,700,0,6,N,32,0.21339888864587053
1-2,0,700,0,6,N,33,-0.5013968270488516
1-2,0,700,0,6,N,34,0.19543951532577727
1-2,0,700,0,6,N,35,0.07211593947899414
1-2,0,700,0,6,N,36,0.05061030880895111
1-2,0,700,0,6,N,37,-0.4247358375452853
1-2,0,700,0,6,N,38,0.10754471452104904
1-2,0,700,0,6,N,39,0.08168657315572359
1-2,0,700,0,6,N,40,-0.3822817037780181
1-2,0,700,0,6,N,41,-0.7009441277762174
1-2,0,700,0,6,N,42,-0.3917850484257237
1-2,0,700,0,6,N,43,0.817260416888548
1-2,0,700,0,6,N,44,0.6124443965758856
1-2,0,700,0,6,N,45,0.006228924521159691
1-2,0,700,0,6,N,46,0.27712820896508233
1-2,0,700,0,6,N,47,-0.546329348191025
1-2,0,700,0,6,N,48,-0.36327311559842285
1-2,0,700,0,6,N,49,0.14523222863086138
1-2,0,700,0,6,N,50,-0.04924472306065686
1-2,0,700,0,6,N,51,0.49905869063857744
1-2,0,700,0,6,N,52,0.5819732558885218
1-2,0,700,0,6,N,53,0.2714492345361198
1-2,0,700,0,6,N,54,-0.38865708132414134
1-2,0,700,0,6,N,55,-0.11478197399263387
1-2,0,700,0,7,N,0,0.27697114165111386
1-2,0,700,0,7,N,1,0.5483706694746958
1-2,0,700,0,7,N,2,0.588920668551108
1-2,0,700,0,7,N,3,0.09849998619082359
1-2,0,700,0,7,N,4,-0.12964829200660016
1-2,0,700,0,7,N,5,0.6335372982981338
1-2,0,700,0,7,N,6,0.5905541539154869
1-2,0,700,0,7,N,7,0.01803621106968556
1-2,0,700,0,7,N,8,-0.021099393876819094
1-2,0,700,0,7,N,9,0.8565102311452306
1-2,0,700,0,7,N,10,0.010765135023045437
1-2,0,700,0,7,N,11,-0.6969415794612744
