"sub.layer","sub.neuron","sub.type","sub.weight","sub.value"
0,3,"N",28,0.373893173909492
0,3,"N",29,-0.585026707423566
0,3,"N",30,0.252536411513315
0,3,"N",31,-0.210202849313656
0,3,"N",32,0.803476187033508
0,3,"N",33,0.19169775618077
0,3,"N",34,-0.903497485733104
0,3,"N",35,0.833786814766039
0,3,"N",36,-0.153828487215505
0,3,"N",37,0.503297314636225
0,3,"N",38,-0.0323335282777781
0,3,"N",39,-0.412026852585863
0,3,"N",40,0.592286864099001
0,3,"N",41,-0.726262046824087
0,3,"N",42,-0.756050689262499
0,3,"N",43,0.448863111625415
0,3,"N",44,0.757806500858893
0,3,"N",45,-0.063580482209406
0,3,"N",46,0.00187827174045631
0,3,"N",47,0.197591869617116
0,3,"N",48,-0.249796929725055
0,3,"N",49,-0.0850473059614602
0,3,"N",50,0.207572258991799
0,3,"N",51,0.732188471730268
0,3,"N",52,0.021924561056283
0,3,"N",53,-0.242600521320279
0,3,"N",54,0.431065186135596
0,3,"N",55,0.0328681757930209
0,4,"N",0,-0.403217590475316
0,4,"N",1,-0.718151725354135
0,4,"N",2,-0.0833376297048927
0,4,"N",3,0.570847362477894
0,4,"N",4,-0.168668444392784
0,4,"N",5,-0.329742866005498
0,4,"N",6,-0.420556411442364
0,4,"N",7,-0.494989333886105
0,4,"N",8,0.133360380812179
0,4,"N",9,0.137877089567665
0,4,"N",10,0.247294532504242
0,4,"N",11,0.319143837882895
0,4,"N",12,-0.260234498987046
0,4,"N",13,0.0140493864282663
0,4,"N",14,0.752866451820382
0,4,"N",15,-0.0493956067748835
0,4,"N",16,-0.29659547308382
0,4,"N",17,-0.0867665242916799
0,4,"N",18,0.186574992633626
0,4,"N",19,0.167003445681196
0,4,"N",20,0.966698728647393
0,4,"N",21,-0.279801169219111
0,4,"N",22,0.274521445595302
0,4,"N",23,-0.89760846439007
0,4,"N",24,-0.0293463724187553
0,4,"N",25,-0.0283061710079257
0,4,"N",26,0.80340067812395
0,4,"N",27,0.0271974038191218
0,4,"N",28,-0.602531908081434
0,4,"N",29,-0.336872555101075
0,4,"N",30,0.331922685514504
0,4,"N",31,-0.133343506669349
0,4,"N",32,-0.603644683928424
0,4,"N",33,-0.602805272201142
0,4,"N",34,-0.267966822348431
0,4,"N",35,-0.46901578417074
0,4,"N",36,-0.0969730558686084
0,4,"N",37,0.289468950927361
0,4,"N",38,-0.942800409213444
0,4,"N",39,-0.511658884352807
0,4,"N",40,0.30781883449298
0,4,"N",41,0.367186156595615
0,4,"N",42,-0.104303611328753
0,4,"N",43,-0.399089717312867
0,4,"N",44,-0.0344831978290551
0,4,"N",45,0.374260788639216
0,4,"N",46,-0.0323017936009498
0,4,"N",47,-0.222604080022517
0,4,"N",48,0.74978871320707
0,4,"N",49,0.2154504123583
0,4,"N",50,0.286586480820901
0,4,"N",51,0.165943571310706
0,4,"N",52,0.715880349013199
0,4,"N",53,-0.580516772035301
0,4,"N",54,-0.0728517921427928
0,4,"N",55,0.502520227330004
0,5,"N",0,0.407838488309969
0,5,"N",1,-0.0154626975439667
0,5,"N",2,0.176461293874296
0,5,"N",3,-0.0437266944078363
0,5,"N",4,0.355802900150145
0,5,"N",5,0.376719073077903
0,5,"N",6,-0.10128060890282
0,5,"N",7,0.695055657752215
0,5,"N",8,-0.0736715239924394
0,5,"N",9,0.1433267547261
0,5,"N",10,-0.140706845985085
0,5,"N",11,0.277445045735627
0,5,"N",12,0.0284676630901667
0,5,"N",13,0.342317745535975
0,5,"N",14,-0.0387444532894672
0,5,"N",15,0.74296177836859
0,5,"N",16,-0.239198383837359
0,5,"N",17,-0.442335981031954
0,5,"N",18,-0.227469927397368
0,5,"N",19,0.130091154767674
0,5,"N",20,0.260422854148984
0,5,"N",21,-0.245651016153053
0,5,"N",22,-0.443114976147785
0,5,"N",23,0.27302867685514
0,5,"N",24,-0.251071547905661
0,5,"N",25,-0.0333795667921638
0,5,"N",26,-0.433154022017723
0,5,"N",27,-0.668684293159323
0,5,"N",28,0.150132216767848
0,5,"N",29,-0.0556015996515735
0,5,"N",30,-0.748718500361911
0,5,"N",31,0.158411946225233
0,5,"N",32,0.613283582866902
0,5,"N",33,-0.0641639264676677
0,5,"N",34,0.141160112242103
0,5,"N",35,-0.428205249943699
0,5,"N",36,-0.500110617709376
0,5,"N",37,0.156698647063127
0,5,"N",38,-0.774577415580564
0,5,"N",39,0.160187657845265
